pair_index	cell_a_age_band	cell_a_tenure	cell_b_age_band	cell_b_tenure	pair_family	metric_id	squared_distance_numerator	squared_distance_denominator	squared_distance_exact	squared_distance_decimal	distance_sqrt_computed	outcome_gate
20	35-44	RENTER	45-54	RENTER	ADJACENT_AGE_WITHIN_TENURE	M1_NATURAL_TRANSFORM_UNIT_IDENTITY	137158848916149682610468474128787729	1000000000000000000000000000000000000	137158848916149682610468474128787729/1000000000000000000000000000000000000	0.137158848916149682610468474128787729	0	NONE
20	35-44	RENTER	45-54	RENTER	ADJACENT_AGE_WITHIN_TENURE	M2_CONCEPT_BALANCED_I_SPLIT	272554724774242963196591474128787729	2000000000000000000000000000000000000	272554724774242963196591474128787729/2000000000000000000000000000000000000	0.1362773623871214815982957370643938645	0	NONE
21	35-44	RENTER	55-64	OWNER	OTHER_PAIRWISE	M1_NATURAL_TRANSFORM_UNIT_IDENTITY	833939735576380279262035470132352713	125000000000000000000000000000000000	833939735576380279262035470132352713/125000000000000000000000000000000000	6.671517884611042234096283761058821704	0	NONE
21	35-44	RENTER	55-64	OWNER	OTHER_PAIRWISE	M2_CONCEPT_BALANCED_I_SPLIT	1667266285069914528250858720132352713	250000000000000000000000000000000000	1667266285069914528250858720132352713/250000000000000000000000000000000000	6.669065140279658113003434880529410852	0	NONE
22	35-44	RENTER	55-64	RENTER	OTHER_PAIRWISE	M1_NATURAL_TRANSFORM_UNIT_IDENTITY	926396984083291326697178698385520609	1000000000000000000000000000000000000	926396984083291326697178698385520609/1000000000000000000000000000000000000	0.926396984083291326697178698385520609	0	NONE
22	35-44	RENTER	55-64	RENTER	OTHER_PAIRWISE	M2_CONCEPT_BALANCED_I_SPLIT	1799128178140381311901794698385520609	2000000000000000000000000000000000000	1799128178140381311901794698385520609/2000000000000000000000000000000000000	0.8995640890701906559508973491927603045	0	NONE
23	45-54	OWNER	45-54	RENTER	OWNER_RENTER_WITHIN_AGE	M1_NATURAL_TRANSFORM_UNIT_IDENTITY	3608551191608133909190210387513922321	1000000000000000000000000000000000000	3608551191608133909190210387513922321/1000000000000000000000000000000000000	3.608551191608133909190210387513922321	0	NONE
23	45-54	OWNER	45-54	RENTER	OWNER_RENTER_WITHIN_AGE	M2_CONCEPT_BALANCED_I_SPLIT	7194966531570874860290068387513922321	2000000000000000000000000000000000000	7194966531570874860290068387513922321/2000000000000000000000000000000000000	3.5974832657854374301450341937569611605	0	NONE
24	45-54	OWNER	55-64	OWNER	ADJACENT_AGE_WITHIN_TENURE	M1_NATURAL_TRANSFORM_UNIT_IDENTITY	196104706094037063021036555224029649	250000000000000000000000000000000000	196104706094037063021036555224029649/250000000000000000000000000000000000	0.784418824376148252084146220896118596	0	NONE
24	45-54	OWNER	55-64	OWNER	ADJACENT_AGE_WITHIN_TENURE	M2_CONCEPT_BALANCED_I_SPLIT	385820588143027890410264805224029649	500000000000000000000000000000000000	385820588143027890410264805224029649/500000000000000000000000000000000000	0.771641176286055780820529610448059298	0	NONE
25	45-54	OWNER	55-64	RENTER	OTHER_PAIRWISE	M1_NATURAL_TRANSFORM_UNIT_IDENTITY	1352747419542525435903882133743487361	1000000000000000000000000000000000000	1352747419542525435903882133743487361/1000000000000000000000000000000000000	1.352747419542525435903882133743487361	0	NONE
25	45-54	OWNER	55-64	RENTER	OTHER_PAIRWISE	M2_CONCEPT_BALANCED_I_SPLIT	2592324694225438143049455133743487361	2000000000000000000000000000000000000	2592324694225438143049455133743487361/2000000000000000000000000000000000000	1.2961623471127190715247275668717436805	0	NONE
26	45-54	RENTER	55-64	OWNER	OTHER_PAIRWISE	M1_NATURAL_TRANSFORM_UNIT_IDENTITY	265899875997674909411991001309161229	40000000000000000000000000000000000	265899875997674909411991001309161229/40000000000000000000000000000000000	6.647496899941872735299775032729030725	0	NONE
26	45-54	RENTER	55-64	OWNER	OTHER_PAIRWISE	M2_CONCEPT_BALANCED_I_SPLIT	531744713102794794631024321309161229	80000000000000000000000000000000000	531744713102794794631024321309161229/80000000000000000000000000000000000	6.6468089137849349328878040163645153625	0	NONE
27	45-54	RENTER	55-64	RENTER	ADJACENT_AGE_WITHIN_TENURE	M1_NATURAL_TRANSFORM_UNIT_IDENTITY	1926881781573800630295759291968961	2500000000000000000000000000000000	1926881781573800630295759291968961/2500000000000000000000000000000000	0.7707527126295202521183037167875844	0	NONE
27	45-54	RENTER	55-64	RENTER	ADJACENT_AGE_WITHIN_TENURE	M2_CONCEPT_BALANCED_I_SPLIT	3763355021619109769517406791968961	5000000000000000000000000000000000	3763355021619109769517406791968961/5000000000000000000000000000000000	0.7526710043238219539034813583937922	0	NONE
28	55-64	OWNER	55-64	RENTER	OWNER_RENTER_WITHIN_AGE	M1_NATURAL_TRANSFORM_UNIT_IDENTITY	24113213582188511501756787874815401	8000000000000000000000000000000000	24113213582188511501756787874815401/8000000000000000000000000000000000	3.014151697773563937719598484351925125	0	NONE
28	55-64	OWNER	55-64	RENTER	OWNER_RENTER_WITHIN_AGE	M2_CONCEPT_BALANCED_I_SPLIT	47973478038843602828424963874815401	16000000000000000000000000000000000	47973478038843602828424963874815401/16000000000000000000000000000000000	2.9983423774277251767765602421759625625	0	NONE
