date,income_rel,consumer_price_rel,house_price_rel,cpp_index_1991q1_100,ha_index_1991q1_100,x_c,x_h,divergence_xc_minus_xh,delta_x_c,delta_x_h,qa_real_dpi_relative_error,qa_real_pce_relative_error
1995-01-01,1.1727013135351227,1.098771281984249,1.1032,106.72842772313498,106.299974033278,0.06511736348040364,0.061094855082057614,0.004022508398346031,0.0057495431584424425,0.004623511352155642,6.539045784081932e-05,7.035309651037824e-05
1995-04-01,1.1794403198172474,1.1051763014280578,1.1098999999999999,106.71965353339816,106.26545813291715,0.06503514967281067,0.060770099543845525,0.0042650501289651435,-8.221380759297625e-05,-0.00032475553821208897,4.9358881731409454e-05,5.4048474503631816e-05
1995-07-01,1.1911479154768703,1.1096859579752296,1.1199,107.34099200915175,106.36198905945801,0.07084042246515475,0.061678081410226675,0.009162341054928073,0.0058052727923440794,0.0009079818663811495,5.672656231059392e-05,7.034567345098885e-05
1995-10-01,1.1994860079954313,1.1145714192346656,1.1266,107.61858659708619,106.46955512119929,0.07342318471325655,0.0626888908869332,0.010734293826323349,0.0025827622481018053,0.0010108094767065298,7.542136183569248e-05,9.209497947415546e-05
1996-01-01,1.2143917761279268,1.1207640273193686,1.1364,108.35392165757641,106.86305668144374,0.08023273568700577,0.06637798467523298,0.01385475101177279,0.006809550973749218,0.003689093788299777,3.041881769583199e-05,0.00011596322483575783
1996-04-01,1.230039977155911,1.128263782229339,1.1437,109.02060285277189,107.54918048053781,0.08636669537749751,0.07277804980389473,0.013588645573602787,0.0061339596904917415,0.006400065128661744,7.070572955358845e-05,6.85738490998622e-05
1996-07-01,1.2408909194745859,1.1330675468121958,1.1509,109.51605868209211,107.81917798892917,0.0909010071467032,0.07528536008621671,0.015615647060486487,0.0045343117692056845,0.002507310282321984,4.645468352104665e-05,8.561951866414841e-05
1996-10-01,1.2516276413478014,1.1407960524165879,1.1576,109.71528510257684,108.12263660571885,0.09271850707064258,0.07809592104327195,0.014622586027370627,0.0018174999239393835,0.0028105609570552442,7.826618733319801e-05,7.227014036836898e-05
1997-01-01,1.2653340948029697,1.1458285676938662,1.1648,110.4296166528318,108.63101775437582,0.09920817866070104,0.08278679541281242,0.016421383247888624,0.006489671590058463,0.004690874369540465,6.60423985574532e-05,6.294104892345942e-05
1997-04-01,1.2757852655625357,1.148704290709454,1.1745,111.06298425808046,108.62369225734658,0.1049272801475978,0.08271935846719569,0.022207921680402115,0.005719101486896763,-6.743694561672786e-05,5.916869947386605e-05,7.418768873257431e-05
